player_head,player,age,primary_position,SR,FM_Rating,Opta_Club_Rating,league_rank,league,team,team_logo
https://i.imgur.com/OioNUIP.png,Maxime Crepeau,30,GK,,60,74.7,75.4,Major League Soccer,Portland Timbers,https://cdn.ssref.net/req/202404172/tlogo/fb/d076914e.png
https://i.imgur.com/mRZaqps.png,Dayne St. Clair,27,GK,,59,76.8,75.4,Major League Soccer,Minnesota United,https://cdn.ssref.net/req/202404172/tlogo/fb/99ea75a6.png
https://i.imgur.com/J43nu60.png,Tom McGill,24,GK,,49,85.4,86.34,English Premier League,Brighton Hove Albion,https://cdn.ssref.net/req/202404172/tlogo/fb/d07537b9.png
https://i.imgur.com/fhQnBuO.png,Richie Laryea,29,RB,,61,71.5,75.4,Major League Soccer,Toronto FC,https://cdn.ssref.net/req/202404172/tlogo/fb/130f43fa.png
https://i.imgur.com/DBRKE2n.png,Derek Cornelius,26,CB,,62,79.8,72.36,Allsvenskan,Malmo FF,https://cdn.ssref.net/req/202404172/tlogo/fb/f3d8c8b9.png
https://i.imgur.com/5xMCx6k.png,Alistair Johnston,25,RB,,66,83.3,70.46,Scottish Premiership,Celtic,https://cdn.ssref.net/req/202404172/tlogo/fb/b81aa4fa.png
https://i.imgur.com/2kpqShn.png,Kamal Miller,27,CB,,59,74.7,75.4,Major League Soccer,Portland Timbers,https://cdn.ssref.net/req/202404172/tlogo/fb/d076914e.png
https://i.imgur.com/uv0WJq5.png,Moise Bombito,24,CB,,50,72.9,75.4,Major League Soccer,Colorado Rapids,https://cdn.ssref.net/req/202404172/tlogo/fb/415b4465.png
https://i.imgur.com/hVlVk6F.png,Luc De Fougerolles,18,CB,,41,85.1,86.34,English Premier League,Fulham,https://cdn.ssref.net/req/202404172/tlogo/fb/fd962109.png
https://i.imgur.com/TjGd1l5.png,Kyle Hiebert,26,CB,,53,74,75.4,Major League Soccer,St. Louis CITY SC,https://cdn.ssref.net/req/202404172/tlogo/fb/bd97ac1f.png
https://i.imgur.com/Z1Y16CJ.png,Tajon Buchanan,25,RW,,64,97.5,85.77,Serie A,Inter Milan,https://cdn.ssref.net/req/202404172/tlogo/fb/d609edc0.png
https://i.imgur.com/oEZgISr.png,Alphonso Davies,23,LB,3,78,93.6,85.31,German Bundesliga,Bayern Munich,https://cdn.ssref.net/req/202404172/tlogo/fb/054efa67.png
https://i.imgur.com/ml5sJSb.png,Sam Piette,29,DM,,58,73.2,75.4,Major League Soccer,CF Montreal,https://cdn.ssref.net/req/202404172/tlogo/fb/fc22273c.png
https://i.imgur.com/LtiX8sM.png,Jonathan Osorio,32,CM,,63,71.5,75.4,Major League Soccer,Toronto FC,https://cdn.ssref.net/req/202404172/tlogo/fb/130f43fa.png
https://i.imgur.com/xfnJ8AE.png,Stephen Eustaquio,27,CM,,71,89.4,77.62,Liga Portugal,FC Porto,https://cdn.ssref.net/req/202404172/tlogo/fb/5e876ee6.png
https://i.imgur.com/6mY5gNI.png,Ismael Kone,22,CM,,62,74.6,75.5,English Championship,Watford,https://cdn.ssref.net/req/202404172/tlogo/fb/2abfe087.png
https://i.imgur.com/GlDwm7Y.png,Mathieu Choiniere,25,CM,,56,73.2,75.4,Major League Soccer,CF Montreal,https://cdn.ssref.net/req/202404172/tlogo/fb/fc22273c.png
https://i.imgur.com/mIqJkMW.png,Liam Millar,24,LW,,62,74.3,75.5,English Championship,Preston North End,https://cdn.ssref.net/req/202404172/tlogo/fb/22df8478.png
https://i.imgur.com/5j8btLX.png,Jacob Shaffelburg,24,LW,,56,75.7,75.4,Major League Soccer,Nashville SC,https://cdn.ssref.net/req/202404172/tlogo/fb/35f1b818.png
https://i.imgur.com/1qGxNPN.png,Cyle Larin,29,ST,,65,83.2,85.29,La Liga,Mallorca,https://cdn.ssref.net/req/202404172/tlogo/fb/2aa12281.png
https://i.imgur.com/Ox2OaBa.png,Jonathan David,24,ST,,72,87.9,83.79,Ligue 1,Lille,https://cdn.ssref.net/req/202404172/tlogo/fb/cb188c0c.png
https://i.imgur.com/T4R8BpN.png,Theo Bair,24,ST,,50,68,70.46,Scottish Premiership,Motherwell,https://cdn.ssref.net/req/202404172/tlogo/fb/9d04848a.png
https://i.imgur.com/xOR33LC.png,Tani Oluwaseyi,24,ST,,45,76.8,75.4,Major League Soccer,Minnesota United,https://cdn.ssref.net/req/202404172/tlogo/fb/99ea75a6.png
https://i.imgur.com/WfXTRF6.png,Jacen Russell-Rowe,21,ST,,50,80.6,75.4,Major League Soccer,Columbus Crew,https://cdn.ssref.net/req/202406121/tlogo/fb/529ba333.png
https://i.imgur.com/EzNlOJh.png,Ali Ahmed,23,CM,,54,75.4,75.4,Major League Soccer,Vancouver Whitecaps,https://cdn.ssref.net/req/202406121/tlogo/fb/ab41cb90.png
https://i.imgur.com/iWDlrSt.png,Joel Waterman,28,CB,,57,73.2,75.4,Major League Soccer,CF Montreal,https://cdn.ssref.net/req/202404172/tlogo/fb/fc22273c.png
