team,competition,group,rating
Bayern Munich,UCL,A,94.1
Manchester United,UCL,A,89.8
Copenhagen,UCL,A,81.8
Galatasaray,UCL,A,85.1
Sevilla,UCL,B,83.7
Arsenal,UCL,B,93.5
PSV,UCL,B,88.2
Lens,UCL,B,84.4
Real Madrid,UCL,C,93.4
Napoli,UCL,C,91.7
Braga,UCL,C,83.3
Union Berlin,UCL,C,85.8
Inter,UCL,D,93.1
Benfica,UCL,D,89.5
Salzburg,UCL,D,87.7
Real Sociedad,UCL,D,86.7
Atletico de Madrid,UCL,E,89.2
Feyenoord,UCL,E,86.4
Lazio,UCL,E,86.1
Celtic,UCL,E,81.2
PSG,UCL,F,88.6
Dortmund,UCL,F,90.2
AC Milan,UCL,F,89.3
Newcastle,UCL,F,90.4
Manchester City,UCL,G,100
Leipzig,UCL,G,91.5
Red Star Belgrade,UCL,G,81.1
Young Boys,UCL,G,83.1
Barcelona,UCL,H,91.1
Porto,UCL,H,89.9
Shakhtar Donetsk,UCL,H,81
Antwerp,UCL,H,83.9
West Ham,UEL,A,88.4
Olympiacos,UEL,A,79.8
Freiburg,UEL,A,84.5
Backa Topola,UEL,A,73.1
Ajax,UEL,B,84.3
Marseille,UEL,B,84.2
AEK Athens,UEL,B,78.7
Brighton,UEL,B,90.5
Rangers,UEL,C,80
Real Betis,UEL,C,84.9
Sparta Praha,UEL,C,80.5
Aris Limassol,UEL,C,79.2
Atalanta,UEL,D,85.9
Sporting CP,UEL,D,87
Sturm Graz,UEL,D,81.4
Rakow,UEL,D,81.5
Liverpool,UEL,E,94.8
LASK,UEL,E,78.4
Union SG,UEL,E,82.6
Toulouse,UEL,E,78.9
Villarreal,UEL,F,85
Rennes,UEL,F,84.2
Maccabi Haifa,UEL,F,80.4
Panathinaikos,UEL,F,78.4
Roma,UEL,G,85.3
Slavia Praha,UEL,G,80.7
Sheriff,UEL,G,76.3
Servette,UEL,G,75.4
Leverkusen,UEL,H,88
Qarabag,UEL,H,78.9
Molde,UEL,H,77.9
Hacken,UEL,H,78.2
Lille,UECL,A,83.6
Slovan Bratislava,UECL,A,74.9
Olimpija Ljubljana,UECL,A,72.7
Ki Klaksvik,UECL,A,73.5
Gent,UECL,B,83.7
Maccabi Tel Aviv,UECL,B,80.6
Zorya Luhansk,UECL,B,72.4
Breidablik,UECL,B,69.3
Dinamo Zagreb,UECL,C,81.7
Viktoria Plzen,UECL,C,76.8
Astana,UECL,C,71.1
Ballkani,UECL,C,71.6
Club Brugge,UECL,D,82.5
Bodo/Glimt,UECL,D,79.6
Besiktas,UECL,D,83.3
Lugano,UECL,D,77.3
AZ Alkmaar,UECL,E,83.1
Legia,UECL,E,78.5
Zrinjski,UECL,E,73.5
Aston Villa,UECL,E,89.2
Ferencvaros,UECL,F,77.7
Fiorentina,UECL,F,85
Genk,UECL,F,82
Cukaricki,UECL,F,71.4
Eintracht Frankfurt,UECL,G,84.4
PAOK,UECL,G,76.8
HJK,UECL,G,72.4
Aberdeen,UECL,G,67.1
Fenerbahce,UECL,H,86.1
Ludogorets,UECL,H,75.7
Spartak Trnava,UECL,H,69.7
Nordsjoelland,UECL,H,79.5
