team,competition,group,rating,uefa_cc
Bayern Munich,UCL,A,94.1,120
Manchester United,UCL,A,89.8,89
Copenhagen,UCL,A,81.8,40.5
Galatasaray,UCL,A,85.1,27.5
Sevilla,UCL,B,83.7,82
Arsenal,UCL,B,93.5,54
PSV,UCL,B,88.2,41
Lens,UCL,B,84.4,4
Real Madrid,UCL,C,93.4,106
Napoli,UCL,C,91.7,67
Braga,UCL,C,83.3,46
Union Berlin,UCL,C,85.8,21
Inter,UCL,D,93.1,85
Benfica,UCL,D,89.5,69
Salzburg,UCL,D,87.7,47
Real Sociedad,UCL,D,86.7,37
Atletico de Madrid,UCL,E,89.2,69
Feyenoord,UCL,E,86.4,53
Lazio,UCL,E,86.1,40
Celtic,UCL,E,81.2,29
PSG,UCL,F,88.6,97
Dortmund,UCL,F,90.2,72
AC Milan,UCL,F,89.3,47
Newcastle,UCL,F,90.4,4
Manchester City,UCL,G,100,124
Leipzig,UCL,G,91.5,83
Red Star Belgrade,UCL,G,81.1,39
Young Boys,UCL,G,83.1,31.5
Barcelona,UCL,H,91.1,72
Porto,UCL,H,89.9,62
Shakhtar Donetsk,UCL,H,81,57
Antwerp,UCL,H,83.9,21
