team,competition,group,world_rank,rating
Lille,UECL,A,59,83.6
Slovan Bratislava,UECL,A,255,74.9
Olimpija Ljubljana,UECL,A,445,72.7
Ki Klaksvik,UECL,A,395,73.5
Gent,UECL,B,53,83.7
Maccabi Tel Aviv,UECL,B,94,80.6
Zorya Luhansk,UECL,B,413,72.4
Breidablik,UECL,B,612,69.3
Dinamo Zagreb,UECL,C,80,81.7
Viktoria Plzen,UECL,C,226,76.8
Astana,UECL,C,571,71.1
Ballkani,UECL,C,500,71.6
Club Brugge,UECL,D,68,82.5
Bodo/Glimt,UECL,D,115,79.6
Besiktas,UECL,D,48,83.3
Lugano,UECL,D,185,77.3
AZ Alkmaar,UECL,E,65,83.1
Legia Warszawa,UECL,E,159,78.5
Zrinjski,UECL,E,286,73.5
Aston Villa,UECL,E,20,89.2
Ferencvaros,UECL,F,176,77.7
Fiorentina,UECL,F,44,85
Genk,UECL,F,89,82
Cukaricki,UECL,F,586,71.4
Eintracht Frankfurt,UECL,G,45,84.4
PAOK,UECL,G,203,76.8
HJK,UECL,G,463,72.4
Aberdeen,UECL,G,961,67.1
Fenerbahce,UECL,H,34,86.1
Ludogorets,UECL,H,241,75.7
Spartak Trnava,UECL,H,713,69.7
Nordsjoelland,UECL,H,124,79.5
